name;ConnectId;playerId;groupId;exchange;inequality;base;income_inequality;attention_check;government_opinion;feelings;winner_training_round_1;power_player_round_1_training;power_robot_round_1_training;average_difference_round_1;winner_training_round_2;power_player_round_2_training;power_robot_round_2_training;average_difference_round_2;winner_training_round_3;power_player_round_3_training;power_robot_round_3_training;average_difference_round_3;average_difference_training;training_winner;waiting_delay;winner_game_round_1;power_player_round_1_game;average_difference_round_1;winner_game_round_2;power_player_round_2_game;average_difference_round_2;winner_game_round_3;power_player_round_3_game;average_difference_round_3;winner_game_round_4;power_player_round_4_game;average_difference_round_4;winner_game_round_5;power_player_round_5_game;average_difference_round_5;average_difference_game;game_winner;bot_opponent;most_first;fair_unfair_bar_value;most_important;least_important;distribution_loser_amount;distribution_winner_amount;ug_first;ultimatum_game_receiver_1.0_0.0;ultimatum_game_receiver_0.9_0.1;ultimatum_game_receiver_0.8_0.2;ultimatum_game_receiver_0.7_0.3;ultimatum_game_receiver_0.6_0.4;ultimatum_game_receiver_0.5_0.5;ultimatum_game_receiver_0.4_0.6;ultimatum_game_receiver_0.3_0.7;ultimatum_game_receiver_0.2_0.8;ultimatum_game_receiver_0.1_0.9;ultimatum_game_receiver_0.0_1.0;min_payment_UG;max_payment_UG;consistency;ultimatum_game_proposer_proposer;ultimatum_game_proposer_receiver;final_payment_UG;age;political_ideology;zip_code;education;gender;race;religion;political_party;income;ga_ii_or_go;get_ahead_1;get_ahead_2;get_ahead_3;get_ahead_4;dictator_game_proposer;dictator_game_receiver;average_delay;standard_deviation_delay;span_minutes;date
unknown;B41E4411A0BD42BFAAACBFB89AAAE41B;2;1;RA;2.5;7.5;disagree;4;neither;indifferent;True;52;52;0.0;True;46;44;0.0;True;55;63;0.0;0.0;True;30.722465991973877;True;69;0.0;True;67;0.0;False;55;0.0;False;47;0.0;False;42;0.0;0.0;False;False;False;4;talent;luck;1875;2500;False;yes;no;no;no;no;no;no;no;no;no;no;1.0;1.0;True;;;0.0;25;6;18642; College  Degree ;Male;white;none;not_very_strong_republican;$85,000-$99,999;getAhead-governmentOpinion-incomeInequality;1;1;1;1;;;4.988797261979845;2.4752494827978357;12.51; 2024-03-12  13:41:22.440068
unknown;63CCB99291884DB49454E28CF01D6FE0;1;1;RA;2.5;7.5;strongly_agree;5;strongly_agree;happy;True;52;52;0.0;True;42;48;0.0;True;55;63;0.0;0.0;True;6.185927152633667;False;42;0.0;False;40;0.0;True;55;0.0;True;57;0.0;True;61;0.14285714285714285;0.027777777777777776;True;False;False;4;luck;talent;1875;2500;False;;;;;;;;;;;;;;;70;30;0.0;30;9;48186; College  Degree ;Male;white;none;strong_democrat;$70,000-$84,999;getAhead-incomeInequality-governmentOpinion;4;4;3;3;70;30;4.957322905460994;4.12281141466446;13.01; 2024-03-12  13:41:33.649477
unknown;7FBD9C78131B4705A584D9AE47A72229;1;4;RA;5.0;5.0;strongly_agree;5;strongly_agree;happy;False;52;52;4.1;False;40;50;0.7142857142857143;False;53;65;0.0;1.84;False;5.5982582569122314;True;64;0.0;True;61;0.0;True;60;0.0;False;43;0.0;True;52;0.0;0.0;True;False;False;2;luck;talent;1550;2200;False;;;;;;;;;;;;;;;40;60;0.0;37;9;40391; Graduate/Professional  Degree ;Male;white;none;other;$115,000-$129,999;governmentOpinion-getAhead-incomeInequality;4;4;3;2;60;40;5.390537402209113;2.8000831843232175;19.75; 2024-03-12  13:41:35.860923
unknown;1C3FEAA46E0444B8B0F96480EF8E0F8A;1;1;RA;2.5;5.0;;;;;False;52;52;4.1;False;48;42;2.2222222222222223;False;50;68;;3.210526315789474;False;6.144176721572876;False;61;4.2;;;;;;;;;;;;;4.2;;True;True;;;;;;True;;;;;;;;;;;;;;;;;;;;;;;;;;;getAhead-governmentOpinion-incomeInequality;;;;;;;4.3144717415173846;1.754551696522474;; 2024-03-12  13:41:37.306637
unknown;01BDCB71123048979A77AB656EEBD585;2;3;RA;5.0;5.0;strongly_agree;5;strongly_agree;sad;True;52;52;0.0;True;49;41;1.5;True;57;61;1.625;1.0869565217391304;True;5.388840913772583;True;57;0.0;False;57;1.8571428571428572;False;38;1.4285714285714286;False;42;0.0;True;55;0.0;0.6216216216216216;False;False;False;1;rules;talent;1875;1875;False;yes;yes;yes;yes;yes;yes;yes;yes;yes;yes;no;0.1;1.0;True;;;50;33;8;60402; High  School ;Male;latino-hispanic;none;strong_democrat;$25,000-$39,999;incomeInequality-governmentOpinion-getAhead;4;4;4;4;;;4.037640031503171;2.2823206061714805;17.41; 2024-03-12  13:41:37.451459
unknown;08BD996E35D94D289BBF930A314F0DE7;1;5;RA;2.5;7.5;;;;;False;52;52;4.1;False;41;49;0.0;True;58;60;;2.2777777777777777;False;6.86126446723938;True;49;0.0;;;;;;;;;;;;;0.0;;False;False;;;;;;True;;;;;;;;;;;;;;;;;;;;;;;;;;;incomeInequality-getAhead-governmentOpinion;;;;;;;7.800436902046203;5.26552787134944;; 2024-03-12  13:41:37.852387
unknown;18BF3F62EA1E48C99F02957B74EF2626;2;1;RA;5.0;5.0;;;;;False;52;52;2.6;False;47;43;3.375;True;57;61;2.3333333333333335;2.740740740740741;False;7.1019580364227295;False;54;;;;;;;;;;;;;;;;True;True;;;;;;True;;;;;;;;;;;;;;;;;;;;;;;;;;;getAhead-incomeInequality-governmentOpinion;;;;;;;24.85116857290268;28.24016613130421;; 2024-03-12  13:41:40.095063
unknown;795E2BE9181E4D17983B51FD78772356;pending;0;RE;2.5;7.5;;;;;False;52;52;3.2;;;;;;;;;3.2;;;;;;;;;;;;;;;;;;;;False;True;;;;;;True;;;;;;;;;;;;;;;;;;;;;;;;;;;getAhead-governmentOpinion-incomeInequality;;;;;;;;;; 2024-03-12  13:41:40.679617
unknown;5B5C3D85087A4E16BBF4767641D407C0;2;6;RA;5.0;5.0;agree;5;agree;happy;False;52;52;2.7;False;47;43;2.6;True;54;64;0.0;1.962962962962963;False;11.994087219238281;True;62;0.0;True;48;0.0;False;44;0.0;True;48;0.0;True;51;0.14285714285714285;0.02702702702702703;True;False;False;6;rules;luck;1325;2425;False;;;;;;;;;;;;;;;90;10;90;26;2;20785; College  Degree ;Male;black;catholic;strong_republican;$100,000-$114,999;incomeInequality-getAhead-governmentOpinion;3;5;4;4;100;0;7.396212412386524;9.869383963285262;29.73; 2024-03-12  13:41:41.715470
unknown;42FF083050AF433C816F9814AB577CC5;2;185714788505270488;RE;2.5;5.0;agree;5;agree;indifferent;True;52;52;0.5714285714285714;True;50;40;0.8571428571428571;True;60;58;0.0;0.45454545454545453;True;191.14345622062683;False;49;0.0;False;44;0.2;False;47;0.0;False;29;0.15384615384615385;False;29;0.6470588235294118;0.45714285714285713;False;True;True;2;luck;talent;1125;2000;False;yes;yes;yes;yes;yes;yes;yes;yes;no;no;no;0.3;1.0;True;;;;47;5;18612; College  Degree ;Female;white;catholic;independent;$70,000-$84,999;governmentOpinion-incomeInequality-getAhead;4;3;3;3;;;4.249992355387262;5.7555481497595835;26.73; 2024-03-12  13:41:42.343304
unknown;1BB2F7BCFF204F869A86A204DC3BD58C;1;2;RA;5.0;5.0;agree;5;agree;happy;True;52;52;1.1428571428571428;True;48;42;0.0;False;55;63;0.0;0.34782608695652173;True;5.974579572677612;False;47;0.0;False;42;0.0;True;53;0.0;False;37;1.2857142857142858;True;46;1.0;0.4864864864864865;False;False;False;6;rules;luck;1250;2500;False;yes;yes;yes;yes;yes;yes;yes;yes;no;no;no;0.3;1.0;True;;;50;32;7;19107; Some  College ;Other;black;none;independent;$0-$9,999;governmentOpinion-incomeInequality-getAhead;2;3;5;3;;;4.374141746637773;1.855373910548024;14.58; 2024-03-12  13:41:43.515503
